Date,Date_YMD,Daily Confirmed,Daily Deceased
30-Jan-20,30-01-2020,1,0
31-Jan-20,31-01-2020,0,0
01-Feb-20,01-02-2020,0,0
02-Feb-20,02-02-2020,1,0
03-Feb-20,03-02-2020,1,0
04-Feb-20,04-02-2020,0,0
05-Feb-20,05-02-2020,0,0
06-Feb-20,06-02-2020,0,0
07-Feb-20,07-02-2020,0,0
08-Feb-20,08-02-2020,0,0
09-Feb-20,09-02-2020,0,0
10-Feb-20,10-02-2020,0,0
11-Feb-20,11-02-2020,0,0
12-Feb-20,12-02-2020,0,0
13-Feb-20,13-02-2020,0,0
14-Feb-20,14-02-2020,0,0
15-Feb-20,15-02-2020,0,0
16-Feb-20,16-02-2020,0,0
17-Feb-20,17-02-2020,0,0
18-Feb-20,18-02-2020,0,0
19-Feb-20,19-02-2020,0,0
20-Feb-20,20-02-2020,0,0
21-Feb-20,21-02-2020,0,0
22-Feb-20,22-02-2020,0,0
23-Feb-20,23-02-2020,0,0
24-Feb-20,24-02-2020,0,0
25-Feb-20,25-02-2020,0,0
26-Feb-20,26-02-2020,0,0
27-Feb-20,27-02-2020,0,0
28-Feb-20,28-02-2020,0,0
29-Feb-20,29-02-2020,0,0
01-Mar-20,01-03-2020,0,0
02-Mar-20,02-03-2020,2,0
03-Mar-20,03-03-2020,1,0
04-Mar-20,04-03-2020,22,0
05-Mar-20,05-03-2020,2,0
06-Mar-20,06-03-2020,1,0
07-Mar-20,07-03-2020,3,0
08-Mar-20,08-03-2020,5,0
09-Mar-20,09-03-2020,9,0
10-Mar-20,10-03-2020,15,0
11-Mar-20,11-03-2020,8,0
12-Mar-20,12-03-2020,10,1
13-Mar-20,13-03-2020,10,0
14-Mar-20,14-03-2020,11,1
15-Mar-20,15-03-2020,10,0
16-Mar-20,16-03-2020,14,0
17-Mar-20,17-03-2020,20,1
18-Mar-20,18-03-2020,25,0
19-Mar-20,19-03-2020,27,1
20-Mar-20,20-03-2020,58,0
21-Mar-20,21-03-2020,78,0
22-Mar-20,22-03-2020,69,3
23-Mar-20,23-03-2020,94,2
24-Mar-20,24-03-2020,74,1
25-Mar-20,25-03-2020,86,1
26-Mar-20,26-03-2020,73,5
27-Mar-20,27-03-2020,153,3
28-Mar-20,28-03-2020,136,5
29-Mar-20,29-03-2020,120,3
30-Mar-20,30-03-2020,187,14
31-Mar-20,31-03-2020,309,6
