Date,Region,Product Line,Product,Quantity Sold,Unit Price,Total Sales
2023-01-01,North America,Smartphones,Model A,39,259.30859737204656,10113.035297509816
2023-01-01,North America,Smartphones,Model B,15,246.398788362281,3695.9818254342154
2023-01-01,North America,Smartphones,Model C,21,131.2037280884873,2755.2782898582336
2023-01-01,North America,Smartphones,Model D,19,119.99498316360058,2279.904680108411
2023-01-01,North America,Laptops,Laptop A,97,833.7086111390219,80869.73528048513
2023-01-01,North America,Laptops,Laptop B,113,1208.0725777960456,136512.20129095315
2023-01-01,North America,Laptops,Laptop C,159,556.4115790271003,88469.44106530894
2023-01-01,North America,Tablets,Tablet A,92,699.465584480253,64350.83377218328
2023-01-01,North America,Tablets,Tablet B,42,200.4672595046086,8419.62489919356
2023-01-01,North America,Tablets,Tablet C,64,310.0427059120603,19842.73317837186
2023-01-01,North America,Tablets,Tablet D,80,566.9918962929685,45359.35170343748
2023-01-01,North America,Wearables,Smartwatch A,272,114.79175279631737,31223.356760598323
2023-01-01,North America,Wearables,Smartwatch B,68,128.71619903875836,8752.70153463557
2023-01-01,North America,Wearables,Fitness Tracker,189,56.999849482042315,10772.971552105997
2023-01-01,Europe,Smartphones,Model A,16,146.55426808606086,2344.8682893769737
2023-01-01,Europe,Smartphones,Model B,47,223.67720186661745,10512.82848773102
2023-01-01,Europe,Smartphones,Model C,44,202.84688768272233,8925.263058039782
2023-01-01,Europe,Smartphones,Model D,3,271.98808134726414,815.9642440417924
2023-01-01,Europe,Laptops,Laptop A,144,670.5241236872915,96555.47381096998
2023-01-01,Europe,Laptops,Laptop B,176,513.2649611598665,90334.63316413651
2023-01-01,Europe,Laptops,Laptop C,98,1465.6320330745593,143631.93924130683
2023-01-01,Europe,Tablets,Tablet A,13,209.57975133212852,2724.5367673176706
2023-01-01,Europe,Tablets,Tablet B,6,610.5398159072942,3663.2388954437647
2023-01-01,Europe,Tablets,Tablet C,64,273.2229409068673,17486.268218039506
2023-01-01,Europe,Tablets,Tablet D,12,220.63311266913104,2647.5973520295724
2023-01-01,Europe,Wearables,Smartwatch A,225,108.65909113598612,24448.295505596878
2023-01-01,Europe,Wearables,Smartwatch B,69,149.3783426530973,10307.105643063713
2023-01-01,Europe,Wearables,Fitness Tracker,21,113.77338117368672,2389.241004647421
2023-01-01,Asia Pacific,Smartphones,Model A,42,213.5400655639983,8968.682753687928
2023-01-01,Asia Pacific,Smartphones,Model B,29,293.9169255529117,8523.59084103444
2023-01-01,Asia Pacific,Smartphones,Model C,26,189.95082667395315,4938.721493522782
2023-01-01,Asia Pacific,Smartphones,Model D,10,278.9654700855298,2789.654700855298
