"UMR","Binder","YOA","Months","Premium","Earned","Total Claims","Quarter","YTD Premium","YTD Earned","YTD Total Claims","Loss Ratio"
"BW00136","Block of Flats","2015","1/31/2015","101000","80800","5500","Q1_2015","101000","80800","5500","0.054455446"
"BW00136","Block of Flats","2015","2/28/2015","102000","81600","6000","Q1_2015","203000","162400","11500","0.058823529"
"BW00136","Block of Flats","2015","3/31/2015","103000","82400","6500","Q1_2015","306000","244800","18000","0.063106796"
"BW00136","Block of Flats","2015","4/28/2015","104000","83200","7000","Q2_2015","410000","328000","25000","0.067307692"
"BW00136","Block of Flats","2015","5/31/2015","105000","84000","7500","Q2_2015","515000","412000","32500","0.071428571"
"BW00136","Block of Flats","2015","6/28/2015","106000","84800","8000","Q2_2015","621000","496800","40500","0.075471698"
"BW00136","Block of Flats","2015","7/31/2015","107000","85600","8500","Q3_2015","728000","582400","49000","0.079439252"
"BW00136","Block of Flats","2015","8/28/2015","108000","86400","9000","Q3_2015","836000","668800","58000","0.083333333"
"BW00136","Block of Flats","2015","10/1/2015","109000","87200","9500","Q4_2015","945000","756000","67500","0.087155963"
"BW00136","Block of Flats","2015","10/28/2015","110000","88000","10000","Q4_2015","1055000","844000","77500","0.090909091"
"BW00136","Block of Flats","2015","12/1/2015","111000","88800","10500","Q4_2015","1166000","932800","88000","0.094594595"
"BW00136","Block of Flats","2015","12/28/2015","112000","89600","11000","Q4_2015","1278000","1022400","99000","0.098214286"
"BW00136","Block of Flats","2016","1/31/2016","101000","80800","5500","Q1_2016","101000","80800","5500","0.054455446"
"BW00136","Block of Flats","2016","2/28/2016","102000","81600","6000","Q1_2016","203000","162400","11500","0.058823529"
"BW00136","Block of Flats","2016","3/31/2016","103000","82400","6500","Q1_2016","306000","244800","18000","0.063106796"
"BW00136","Block of Flats","2016","4/28/2016","104000","83200","7000","Q2_2016","410000","328000","25000","0.067307692"
"BW00136","Block of Flats","2016","5/31/2016","105000","84000","7500","Q2_2016","515000","412000","32500","0.071428571"
"BW00136","Block of Flats","2016","6/28/2016","106000","84800","8000","Q2_2016","621000","496800","40500","0.075471698"
"BW00136","Block of Flats","2016","7/31/2016","107000","85600","8500","Q3_2016","728000","582400","49000","0.079439252"
"BW00136","Block of Flats","2016","8/28/2016","108000","86400","9000","Q3_2016","836000","668800","58000","0.083333333"
"BW00136","Block of Flats","2016","10/1/2016","109000","87200","9500","Q4_2016","945000","756000","67500","0.087155963"
"BW00136","Block of Flats","2016","10/28/2016","110000","88000","10000","Q4_2016","1055000","844000","77500","0.090909091"
"BW00136","Block of Flats","2016","12/1/2016","111000","88800","10500","Q4_2016","1166000","932800","88000","0.094594595"
"BW00136","Block of Flats","2016","12/28/2016","112000","89600","11000","Q4_2016","1278000","1022400","99000","0.098214286"
"BW00136","Block of Flats","2017","1/31/2017","101000","80800","5500","Q1_2017","101000","80800","5500","0.054455446"
"BW00136","Block of Flats","2017","2/28/2017","102000","81600","6000","Q1_2017","203000","162400","11500","0.058823529"
"BW00136","Block of Flats","2017","3/31/2017","103000","82400","6500","Q1_2017","306000","244800","18000","0.063106796"
"BW00136","Block of Flats","2017","4/28/2017","104000","83200","7000","Q2_2017","410000","328000","25000","0.067307692"
"BW00136","Block of Flats","2017","5/31/2017","105000","84000","7500","Q2_2017","515000","412000","32500","0.071428571"
